,molecule_chembl_id,IC50,smiles,pIC50
81,CHEMBL420656,0.5,COc1ccc(S(=O)(=O)N(CC(=O)NC(c2ccccc2)c2ccccc2)C(CCSCc2ccccc2)C(=O)NO)cc1,9.301029995663981
82,CHEMBL234530,0.51,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)NO)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)cc1,9.292429823902063
83,CHEMBL253032,0.52,Cc1ccc(Oc2ccc(N(C[C@H](NC(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1,9.2839966563652
84,CHEMBL254293,0.52,Cc1ccc(Oc2ccc(N(C[C@H](Nc3ccccc3)C(=O)NO)S(C)(=O)=O)cc2)cc1,9.2839966563652
85,CHEMBL3221177,0.53,O=CN(O)C(Cc1ccc(C(=O)O)cc1)CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,9.275724130399212
86,CHEMBL78145,0.53,O=CN(O)C(CCc1ccc(C(=O)O)cc1)CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,9.275724130399212
87,CHEMBL432882,0.54,CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,9.267606240177031
88,CHEMBL3585769,0.54,C=CC[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,9.267606240177031
89,CHEMBL400785,0.54,Cc1ccc(Oc2ccc(N(C[C@H](N[C@@H](C)c3ccccc3)C(=O)NO)S(C)(=O)=O)cc2)cc1,9.267606240177031
90,CHEMBL227824,0.56,CCOc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)P(=O)(O)O)cc2)cc1,9.2518119729938
91,CHEMBL4854379,0.57,CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)SC1CCCC1S,9.244125144327509
92,CHEMBL1916050,0.58,O=C1[C@H](NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=CCN1O,9.236572006437063
93,CHEMBL377112,0.6,O=C(O)C(CCN1C(=O)c2ccccc2C1=O)Sc1ccc(C#Cc2ccc(OC(F)(F)F)cc2)cc1,9.221848749616356
94,CHEMBL333586,0.6,CCOCCCOC(=O)N1CCN(S(=O)(=O)c2ccc(OC)cc2)C(C(=O)NO)C1,9.221848749616356
95,CHEMBL317508,0.6,N#Cc1ccc(-c2ccc(OCC(CCn3nnc4ccccc4c3=O)C(=O)NO)cc2)cc1,9.221848749616356
96,CHEMBL2425950,0.6,COc1ccc(S(=O)(=O)N(CCn2cc(CNS(=O)(=O)c3ccc(F)cc3)nn2)[C@@H](C(=O)NO)C(C)C)cc1,9.221848749616356
97,CHEMBL2064541,0.6,COc1ccc(S(=O)(=O)N(Cc2ccc(OCCOCCOCCOCCOCc3cn(CCF)nn3)cc2)[C@@H](C(=O)NO)C(C)C)cc1,9.221848749616356
98,CHEMBL407443,0.6,COc1ccc(S(=O)(=O)N(CC(=O)NCc2cc(OC)cc(OC)c2)C(CCSCc2ccccc2)C(=O)NO)cc1,9.221848749616356
