,molecule_chembl_id,IC50,smiles,pIC50,ROMol
1756,CHEMBL329617,11000.0,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2030>
1758,CHEMBL3827306,11280.0,CCCNC(=O)CC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,4.947690900352677,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2110>
1759,CHEMBL4637824,11500.0,O=C(CCc1ccccc1)Nc1ccc(-c2nc3ccc(Br)cc3[nH]2)cc1,4.939302159646388,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2180>
1760,CHEMBL477841,11500.0,O=[N+]([O-])c1ccc(-c2nc3ccccc3s2)cc1,4.939302159646388,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be21f0>
1763,CHEMBL3621216,11970.0,NS(=O)(=O)c1ccc(N2N=C(c3ccccc3Cl)CC2c2cccc3ccccc23)cc1,4.921905849593589,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2260>
1764,CHEMBL4066965,12000.0,C[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be22d0>
1765,CHEMBL419896,12000.0,Cc1cc(COc2ccc(S(=O)(=O)CC(CC3CCC4(CC3)OCCO4)N(O)C=O)cc2)c2ccccc2n1,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2340>
1766,CHEMBL176876,12000.0,CCCCCCC1(c2ccc(-c3ccccc3)cc2)C(=O)NC(=S)NC1=O,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be23b0>
1767,CHEMBL495831,12000.0,Cc1cc(COc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C=O)CC3)cc2)c2ccccc2n1,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2420>
1768,CHEMBL562003,12000.0,Cc1c(C(=O)Nc2ccc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)cc2)oc2cccc(NS(C)(=O)=O)c12,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2490>
1769,CHEMBL71573,12000.0,O=C1N[C@@H](CS)C(=O)N(CC2CCCCC2)[C@@H]1CC1CCCCC1,4.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2500>
1771,CHEMBL3622224,12870.0,NS(=O)(=O)c1ccc(N2N=C(c3cccc(I)c3)CC2c2cccc3ccccc23)cc1,4.890421453095613,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be25e0>
1772,CHEMBL2151350,13000.0,COc1ccc(C(=O)CC2(O)C(=O)NC(=O)NC2=O)cc1,4.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2650>
1773,CHEMBL73115,13000.0,NCc1nc2cc(NCc3ccccc3OCc3ccccc3)ccc2[nH]1,4.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be26c0>
1776,CHEMBL3622793,13890.0,NS(=O)(=O)c1ccc(N2N=C(c3cccc(Br)c3)CC2c2ccc3ccccc3c2)cc1,4.857297754262384,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2730>
1777,CHEMBL475540,14000.0,O=C(O)CCC(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,4.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be27a0>
1778,CHEMBL4589438,14000.0,CCn1ccnc1[C@]1(CNC(=O)c2cc3cc(Cl)ccc3o2)NC(=O)NC1=O,4.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2810>
1779,CHEMBL176517,14000.0,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)C(=O)N1,4.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be2880>
1781,CHEMBL2048511,14280.0,CC(C)CC(=O)OC(C(=O)O)C(C)C,4.845271792559845,<rdkit.Chem.rdchem.Mol object at 0x7d5b99be28f0>
