,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
475,CHEMBL418725,6.0,CNC(=O)[C@@H](NC(=O)C(CC(C)C)C(=O)CS)C(C)(C)C,8.221848749616356,316.182063756,21,7,4,3,1.424499999999999,True
476,CHEMBL33980,6.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cnc3c2cnn3-c2ccccc2)cc1,8.221848749616356,530.137238804,38,8,9,2,3.3386000000000013,True
478,CHEMBL229844,6.19,O=C(/C=C/c1ccccc1)Nc1ccc(O)cc1,8.208309350979881,239.094628656,18,3,2,2,3.044100000000001,True
479,CHEMBL2063518,6.2,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCCC(CO)C2)C(=O)N1,8.207608310501746,409.163770836,30,5,6,3,1.7444999999999997,True
480,CHEMBL75618,6.2,CCCCOc1ccc(-c2ccc(S(=O)(=O)CC(CN3C(=O)NC(C)(C)C3=O)N(O)C=O)cc2)cc1,8.207608310501746,517.188271332,36,12,7,2,2.8528000000000002,True
481,CHEMBL2336357,6.21,COc1ccc(NC(=O)/C=C/c2ccccc2)cc1,8.20690839982342,253.11027872,19,4,2,1,3.347100000000001,True
482,CHEMBL2336359,6.38,Cc1ccc(NC(=O)/C=C/c2ccccc2)cc1,8.195179321278838,237.1153641,18,3,1,1,3.6469200000000015,True
483,CHEMBL3585770,6.4,C=CC[C@@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.193820026016112,391.120191772,27,9,6,2,1.7311999999999992,True
484,CHEMBL3617403,6.4,CC(C)ON([C@H](CCNC(=O)Cc1ccccc1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.193820026016112,525.1933567119999,37,12,6,3,3.3073000000000015,True
485,CHEMBL3617402,6.5,CC(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.187086643357144,449.16205658399997,31,10,6,3,2.0845,True
486,CHEMBL126388,6.6,COc1ccc(S(=O)(=O)N2CCN(/C(S)=N/Cc3ccccc3)CC2C(=O)NO)cc1,8.18045606445813,464.11881186799997,31,6,6,3,1.3614999999999997,True
487,CHEMBL404882,6.6,Cc1ccc(Oc2ccc(N(CCC(=O)NO)S(C)(=O)=O)cc2)cc1,8.18045606445813,364.10929273999994,25,7,5,2,2.4488200000000004,True
488,CHEMBL253680,6.6,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)cc1,8.18045606445813,504.19302236399994,35,7,6,2,3.740800000000003,True
489,CHEMBL179288,6.7,CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,8.173925197299173,406.156242932,28,8,5,2,3.2143000000000015,True
490,CHEMBL350789,6.7,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCc1ccc(S(N)(=O)=O)cc1,8.173925197299173,580.1991703639999,41,12,7,4,2.2472000000000003,True
491,CHEMBL7390,6.8,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)C[C@@H]2C(=O)NO)cc1,8.167491087293763,419.115106392,29,6,6,2,0.9498999999999999,True
492,CHEMBL437017,6.8,COc1ccc(S(=O)(=O)N2CN(Cc3ccccc3)C(=O)CC2C(=O)NO)cc1,8.167491087293763,419.115106392,29,6,6,2,0.9498999999999999,True
493,CHEMBL124680,6.9,COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1,8.161150909262744,315.088891644,21,4,6,3,-0.8368999999999984,True
495,CHEMBL45357,7.0,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,8.154901959985743,344.14059286799994,23,8,5,2,1.6258999999999995,True
496,CHEMBL68212,7.0,Cc1cccc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(Oc2ccncc2)cc1,8.154901959985743,413.104541708,29,6,6,2,3.1264200000000013,True
498,CHEMBL68271,7.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cc(C)cc2-c2ccccc2)cc1,8.154901959985743,503.1514919,36,8,6,2,4.5801200000000035,True
499,CHEMBL2425942,7.0,CC(C)[C@H](C(=O)NO)N(Cc1cn(CCF)nn1)S(=O)(=O)c1ccc(OCCF)cc1,8.154901959985743,461.15444633999994,31,12,8,2,1.3167999999999993,True
500,CHEMBL2385441,7.0,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(F)cc1,8.154901959985743,481.11076995999997,34,8,4,4,3.533500000000002,True
501,CHEMBL35606,7.0,CCCCOc1ccc(S(=O)(=O)N(C)c2c(C(=O)NO)cnc3c2c(C)nn3C)cc1,8.154901959985743,447.1576399000001,31,8,8,2,2.3997200000000003,True
502,CHEMBL100081,7.0,COc1ccc(S(=O)(=O)N(Cc2ccc(OCCN3CCCCC3)cc2)c2c(C)cccc2C(=O)NO)cc1,8.154901959985743,553.22465684,39,11,7,2,4.382820000000003,True
503,CHEMBL306577,7.0,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCCN3CCN(c4cccc(Cl)c4)CC3)cc2)C(=O)NO)cc1,8.154901959985743,601.201334552,41,12,8,2,4.220200000000003,True
504,CHEMBL1946141,7.0,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CC[18F])CC2)C(=O)N1,8.154901959985743,425.1728682160001,31,6,6,2,1.6272999999999997,True
505,CHEMBL456911,7.0,O=C1NC(=O)C(c2ccc(-c3ccccc3)cc2)(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)C(=O)N1,8.154901959985743,485.169918836,36,5,7,2,2.6452999999999998,True
506,CHEMBL392571,7.0,CC(C)[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OCCF)cc1,8.154901959985743,425.14207008799997,29,10,6,2,2.1507999999999994,True
507,CHEMBL105142,7.0,CCC(C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,8.154901959985743,344.14059286799994,23,8,5,2,1.6258999999999995,True
508,CHEMBL318922,7.0,COc1ccc(S(=O)(=O)N(Cc2ccc(N3CCN(C)CC3)cc2)c2c(C)cccc2C(=O)NO)cc1,8.154901959985743,524.209341124,37,8,7,2,3.269920000000001,True
509,CHEMBL101210,7.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCN(C(=O)OC(C)(C)C)CC3)cc(Br)cc2C(=O)NO)cc1,8.154901959985743,612.125332496,38,7,8,2,3.4545000000000012,True
510,CHEMBL400193,7.1,Cc1ccc(Oc2ccc(N(C[C@H](NCc3ccccc3)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.148741651280925,469.1671419639999,33,10,6,3,3.2171200000000013,True
511,CHEMBL275362,7.14,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccccc1,8.146301788223825,255.089543276,19,3,3,3,2.7497000000000007,True
512,CHEMBL2336353,7.18,O=C(/C=C/c1ccccc1)Nc1ccccc1O,8.143875555757699,239.094628656,18,3,2,2,3.0441000000000016,True
513,CHEMBL311141,7.2,CN(C)S(=O)(=O)CC(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,8.142667503568731,526.0691422919999,34,11,8,1,2.2588,True
514,CHEMBL1090284,7.2,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](C(=O)NO)C(C)C)cc1,8.142667503568731,358.156242932,24,8,5,2,1.8718999999999992,True
515,CHEMBL67291,7.25,O=C(/C=C/c1ccc(O)c(O)c1)NCc1ccccc1,8.139661993429007,269.10519334,20,4,3,3,2.4274000000000004,True
516,CHEMBL67498,7.28,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccccc1,8.137868620686962,283.120843404,21,5,3,3,2.4699,True
517,CHEMBL2336355,7.29,COc1ccccc1NC(=O)/C=C/c1ccccc1,8.137272471682024,253.11027872,19,4,2,1,3.347100000000001,True
518,CHEMBL1163444,7.29,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccc(F)cc1,8.137272471682024,273.080121464,20,3,3,3,2.8888000000000007,True
519,CHEMBL47971,7.3,CCc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,8.136677139879545,478.102099184,33,7,4,3,4.165800000000003,True
520,CHEMBL311004,7.3,COCCOC(=O)N1CCC(C(NS(=O)(=O)c2ccc(-c3ccc(SC)cc3)cc2)C(=O)O)CC1,8.136677139879545,522.1494433,35,10,7,2,3.3020000000000014,True
521,CHEMBL271867,7.3,COc1ccc(Oc2ccc(S(=O)(=O)Cc3cccn(O)c3=O)cc2)cc1,8.136677139879545,387.07765826400004,27,6,7,1,2.8604000000000003,True
522,CHEMBL2336358,7.38,Cc1ccccc1NC(=O)/C=C/c1ccccc1,8.131943638176958,237.1153641,18,3,1,1,3.6469200000000015,True
524,CHEMBL4788683,7.46,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccc([N+](=O)[O-])cc1)N(C(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,8.127261172527332,564.125668988,41,8,6,1,6.548600000000004,True
526,CHEMBL2336362,7.52,O=C(/C=C/c1cccc(O)c1)Nc1ccccc1,8.123782159408357,239.094628656,18,3,2,2,3.0441000000000003,True
527,CHEMBL2336363,7.57,O=C(/C=C/c1cccc(O)c1)NCc1ccccc1,8.120904120499928,253.11027872,19,4,2,2,2.721800000000001,True
528,CHEMBL124026,7.6,COc1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2C(=O)NO)cc1,8.119186407719209,405.135841836,28,6,6,2,1.0756999999999994,True
529,CHEMBL2336364,7.63,O=C(/C=C/c1cccc(O)c1)NCCc1ccccc1,8.11747546204512,267.125928784,20,5,2,2,2.7643000000000013,True
530,CHEMBL3792842,7.75,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)Nc1ccc(F)cc1N)CC(C)C,8.11069829749369,481.248918104,35,10,4,5,3.3536,True
531,CHEMBL2336788,7.79,O=C(/C=C/c1cccc(O)c1)Nc1ccc(F)cc1,8.108462542327436,257.085206844,19,3,2,2,3.183200000000001,True
532,CHEMBL252422,7.8,Cc1ccc(Oc2ccc(N(C[C@H](O)C(=O)NO)S(C)(=O)=O)cc2)cc1,8.10790539730952,380.1042073599999,26,7,6,3,1.4196199999999994,True
533,CHEMBL1164826,7.8,O=C(/C=C/c1ccc(O)cc1)Nc1ccccc1,8.10790539730952,239.094628656,18,3,2,2,3.0441000000000003,True
534,CHEMBL1165574,7.81,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccccc1F,8.1073489661227,273.080121464,20,3,3,3,2.8888000000000007,True
535,CHEMBL2336337,7.82,O=C(/C=C/c1ccc(O)cc1)NCc1ccccc1,8.106793246940152,253.11027872,19,4,2,2,2.721800000000001,True
536,CHEMBL325749,7.83,O=C(/C=C/c1ccc(O)cc1)NCCc1ccccc1,8.106238237942057,267.125928784,20,5,2,2,2.7643000000000013,True
